DAGS,MED
1.9.2011,21890.00
2.9.2011,21885.00
5.9.2011,21873.00
6.9.2011,21922.00
7.9.2011,21854.00
8.9.2011,21774.00
9.9.2011,21642.00
12.9.2011,21502.00
13.9.2011,21516.00
14.9.2011,21552.00
15.9.2011,21546.00
16.9.2011,21498.00
19.9.2011,21428.00
20.9.2011,21452.00
21.9.2011,21444.00
22.9.2011,21424.00
23.9.2011,21384.00
26.9.2011,21406.00
27.9.2011,21478.00
28.9.2011,21545.00
29.9.2011,21488.00
30.9.2011,21428.00
3.10.2011,21286.00
4.10.2011,21182.00
5.10.2011,21285.00
6.10.2011,21315.00
7.10.2011,21275.00
10.10.2011,21273.00
11.10.2011,21317.00
12.10.2011,21374.00
13.10.2011,21349.00
14.10.2011,21438.00
17.10.2011,21435.00
18.10.2011,21341.00
19.10.2011,21403.00
20.10.2011,21439.00
21.10.2011,21399.00
24.10.2011,21361.00
25.10.2011,21396.00
26.10.2011,21359.00
27.10.2011,21366.00
28.10.2011,21459.00
31.10.2011,21408.00
1.11.2011,21272.00
2.11.2011,21299.00
3.11.2011,21267.00
4.11.2011,21279.00
7.11.2011,21209.00
8.11.2011,21225.00
9.11.2011,21286.00
10.11.2011,21282.00
11.11.2011,21343.00
14.11.2011,21348.00
15.11.2011,21351.00
16.11.2011,21309.00
17.11.2011,21346.00
18.11.2011,21370.00
21.11.2011,21406.00
22.11.2011,21454.00
23.11.2011,21439.00
24.11.2011,21440.00
25.11.2011,21475.00
28.11.2011,21485.00
29.11.2011,21492.00
30.11.2011,21458.00
1.12.2011,21486.00
2.12.2011,21490.00
5.12.2011,21459.00
6.12.2011,21440.00
7.12.2011,21414.00
8.12.2011,21403.00
9.12.2011,21379.00
12.12.2011,21356.00
13.12.2011,21342.00
14.12.2011,21308.00
15.12.2011,21410.00
16.12.2011,21421.00
19.12.2011,21461.00
20.12.2011,21526.00
21.12.2011,21548.00
22.12.2011,21536.00
23.12.2011,21537.00
27.12.2011,21520.00
28.12.2011,21520.00
29.12.2011,21404.00
30.12.2011,21367.00
2.1.2012,21356.00
3.1.2012,21386.00
4.1.2012,21380.00
5.1.2012,21286.00
6.1.2012,21280.00
9.1.2012,21265.00
10.1.2012,21292.00
11.1.2012,21318.00
12.1.2012,21368.00
13.1.2012,21404.00
16.1.2012,21396.00
17.1.2012,21447.00
18.1.2012,21468.00
19.1.2012,21522.00
20.1.2012,21555.00
23.1.2012,21580.00
24.1.2012,21619.00
25.1.2012,21646.00
26.1.2012,21718.00
27.1.2012,21759.00
30.1.2012,21767.00
31.1.2012,21796.00
1.2.2012,21756.00
2.2.2012,21763.00
3.2.2012,21762.00
6.2.2012,21739.00
7.2.2012,21752.00
8.2.2012,21789.00
9.2.2012,21801.00
10.2.2012,21797.00
13.2.2012,21794.00
14.2.2012,21769.00
15.2.2012,21778.00
16.2.2012,21726.00
17.2.2012,21835.00
20.2.2012,21867.00
21.2.2012,21998.00
22.2.2012,22051.00
23.2.2012,22234.00
24.2.2012,22319.00
27.2.2012,22482.00
28.2.2012,22532.00
29.2.2012,22522.00
1.3.2012,22461.00
2.3.2012,22420.00
5.3.2012,22415.00
6.3.2012,22284.00
7.3.2012,22187.00
8.3.2012,22259.00
9.3.2012,22286.00
12.3.2012,22291.00
13.3.2012,22386.00
14.3.2012,22382.00
15.3.2012,22392.00
16.3.2012,22377.00
19.3.2012,22396.00
20.3.2012,22378.00
21.3.2012,22412.00
22.3.2012,22396.00
23.3.2012,22465.00
26.3.2012,22548.00
27.3.2012,22713.00
28.3.2012,22737.00
29.3.2012,22698.00
30.3.2012,22681.00
2.4.2012,22671.00
3.4.2012,22662.00
4.4.2012,22537.00
10.4.2012,22553.00
11.4.2012,22487.00
12.4.2012,22462.00
13.4.2012,22470.00
16.4.2012,22396.00
17.4.2012,22418.00
18.4.2012,22381.00
20.4.2012,22411.00
23.4.2012,22368.00
24.4.2012,22378.00
25.4.2012,22386.00
26.4.2012,22368.00
27.4.2012,22363.00
30.4.2012,22363.00
2.5.2012,22201.00
3.5.2012,22063.00
4.5.2012,21895.00
7.5.2012,21873.00
8.5.2012,21853.00
